path_index,states,accepted,violations,risk,audit_detections,online_requests,audit_requests,new_reference_attempts_completed,sequential_upper,max_Href_drift_meV,end_Href_drift_meV,max_work_balance_residual_meV,paired_geometry_states,OH_bond_RMSE_A,HOH_angle_RMSE_degrees,max_OH_bond_difference_A,max_HOH_angle_difference_degrees,training_updates
33,50,37,2,0.05405405405405406,0,17,4,49,1.0,10.712993447214103,7.250073842442362,6.100991841408321,50,0.0021068160020110433,0.15173653701236517,0.006150937545520652,0.2881896449602266,0
34,50,8,0,0.0,0,45,3,49,1.0,6.545230843130412,1.8038004895970516,6.125856708592885,50,0.0006134641907374152,0.02651679772838543,0.0017721742733510792,0.03803893607081932,0
35,50,0,0,,0,50,0,49,,6.271135871884326,2.8336907062112004,6.271135871884326,50,0.0,0.0,0.0,0.0,0
36,50,0,0,,0,50,0,49,,6.128022527718713,5.862533411345794,6.128022527718713,50,0.0,0.0,0.0,0.0,0
37,50,37,12,0.32432432432432434,1,21,8,49,1.0,14.332578975881916,11.90975774625258,6.211777338777515,50,0.003920099194165353,0.2603088398415197,0.010028617270526952,0.43270132900985914,0
38,50,1,0,0.0,0,49,0,49,1.0,6.24581062083962,6.070814315989992,6.128022527718713,50,9.723939756757524e-05,0.017554430064124733,0.000424813503958843,0.047057069154647024,0
39,50,0,0,,0,50,0,49,,6.128022527718713,5.862533411345794,6.128022527718713,50,0.0,0.0,0.0,0.0,0
40,50,0,0,,0,50,0,49,,1.9130623932142043,0.8240157385444036,1.9130623932142043,50,0.0,0.0,0.0,0.0,0
41,50,37,0,0.0,0,17,4,49,1.0,6.521937527395494,4.288230100428336,1.9850736853081525,50,0.0013039003965508674,0.1162854725918795,0.003426968022686494,0.19156397198011632,0
42,50,16,0,0.0,0,35,1,49,1.0,2.7172437012268347,-1.2704395480795938,1.8909488721680987,50,0.0011717559591152415,0.07123289312571979,0.003170619411114517,0.13177758275897133,0
43,50,9,0,0.0,0,42,1,49,1.0,2.9059637131467753,-1.797734242700244,1.904527222905017,50,0.0006392112060810295,0.01594595199069921,0.001616237457738201,0.03506381042059559,0
44,50,0,0,,0,50,0,49,,5.682628140220913,3.867343568799697,5.682628140220913,50,0.0,0.0,0.0,0.0,0
45,50,37,6,0.16216216216216217,0,16,3,49,1.0,9.832512549564854,6.188346194448968,5.546246494853753,50,0.0009991950381178032,0.22742020314506967,0.0022722568267221632,0.39795048642994857,0
46,50,17,0,0.0,0,34,1,49,1.0,5.78131160364137,-0.632661719009775,5.4465262354625175,50,0.0006063771566509207,0.11081417823170764,0.0016070117215514212,0.22551799164902775,0
47,50,1,0,0.0,0,49,0,49,1.0,5.137991771334782,3.3282872886957193,5.65963887193862,50,0.00011659135273187574,0.037824142742172405,0.00025617865016713814,0.057117250469772785,0
